feature
length_bp
gc_content_pct
n_content_pct
a_frequency
t_frequency
gc_skew
at_skew
sequence_entropy
homopolymer_max_length
homopolymer_mean_length
homopolymer_C_count
repeat_density
coding_fraction
average_orf_length
max_orf_length
codon_adaptation_index
codon_bias_score
gc1_pct
gc2_pct
gc3_pct
kmer_AC
kmer_AG
kmer_CA
kmer_CG
kmer_CT
kmer_GA
kmer_GC
kmer_GG
kmer_GT
kmer_TA
kmer_TC
kmer_TG
kmer_AAC
kmer_AAG
kmer_ACA
kmer_ACC
kmer_ACG
kmer_ACT
kmer_AGA
kmer_AGC
kmer_AGG
kmer_AGT
kmer_ATC
kmer_ATG
kmer_CAA
kmer_CAC
kmer_CAG
kmer_CAT
kmer_CCA
kmer_CCC
kmer_CCT
kmer_CGA
kmer_CGG
kmer_CGT
kmer_CTA
kmer_CTC
kmer_CTG
kmer_CTT
kmer_GAA
kmer_GAC
kmer_GAG
kmer_GAT
kmer_GCA
kmer_GCG
kmer_GCT
kmer_GGA
kmer_GGG
kmer_GGT
kmer_GTA
kmer_GTC
kmer_GTG
kmer_GTT
kmer_TAC
kmer_TAG
kmer_TCA
kmer_TCC
kmer_TCG
kmer_TCT
kmer_TGA
kmer_TGC
kmer_TGG
kmer_TGT
kmer_TTC
kmer_TTG
kmer_AAAC
kmer_AAAG
kmer_AAAT
kmer_AACA
kmer_AACC
kmer_AACG
kmer_AACT
kmer_AAGA
kmer_AAGC
kmer_AAGG
kmer_AAGT
kmer_AATC
kmer_AATG
kmer_ACAA
kmer_ACAC
kmer_ACAG
kmer_ACAT
kmer_ACCA
kmer_ACCC
kmer_ACCT
kmer_ACGA
kmer_ACGC
kmer_ACGG
kmer_ACGT
kmer_ACTA
kmer_ACTC
kmer_ACTG
kmer_ACTT
kmer_AGAA
kmer_AGAC
kmer_AGAG
kmer_AGAT
kmer_AGCA
kmer_AGCC
kmer_AGCG
kmer_AGCT
kmer_AGGA
kmer_AGGC
kmer_AGGG
kmer_AGGT
kmer_AGTA
kmer_AGTC
kmer_AGTG
kmer_AGTT
kmer_ATAC
kmer_ATAG
kmer_ATAT
kmer_ATCA
kmer_ATCC
kmer_ATCG
kmer_ATCT
kmer_ATGA
kmer_ATGC
kmer_ATGG
kmer_ATGT
kmer_ATTA
kmer_ATTC
kmer_ATTG
kmer_CAAA
kmer_CAAC
kmer_CAAG
kmer_CAAT
kmer_CACA
kmer_CACC
kmer_CACG
kmer_CACT
kmer_CAGA
kmer_CAGC
kmer_CAGG
kmer_CAGT
kmer_CATA
kmer_CATC
kmer_CATG
kmer_CATT
kmer_CCAA
kmer_CCAC
kmer_CCAG
kmer_CCAT
kmer_CCCA
kmer_CCCG
kmer_CCCT
kmer_CCGA
kmer_CCGG
kmer_CCGT
kmer_CCTA
kmer_CCTG
kmer_CCTT
kmer_CGAA
kmer_CGAC
kmer_CGAG
kmer_CGAT
kmer_CGCA
kmer_CGCC
kmer_CGCG
kmer_CGCT
kmer_CGGA
kmer_CGGC
kmer_CGGG
kmer_CGTA
kmer_CGTC
kmer_CGTG
kmer_CGTT
kmer_CTAA
kmer_CTAC
kmer_CTAG
kmer_CTAT
kmer_CTCA
kmer_CTCC
kmer_CTCG
kmer_CTCT
kmer_CTGA
kmer_CTGC
kmer_CTGG
kmer_CTGT
kmer_CTTA
kmer_CTTC
kmer_CTTG
kmer_CTTT
kmer_GAAA
kmer_GAAC
kmer_GAAG
kmer_GAAT
kmer_GACA
kmer_GACC
kmer_GACG
kmer_GACT
kmer_GAGA
kmer_GAGC
kmer_GAGG
kmer_GAGT
kmer_GATA
kmer_GATC
kmer_GATG
kmer_GATT
kmer_GCAA
kmer_GCAC
kmer_GCAG
kmer_GCAT
kmer_GCCA
kmer_GCCC
kmer_GCCG
kmer_GCCT
kmer_GCGA
kmer_GCGC
kmer_GCGG
kmer_GCGT
kmer_GCTA
kmer_GCTC
kmer_GCTG
kmer_GCTT
kmer_GGAA
kmer_GGAC
kmer_GGAG
kmer_GGAT
kmer_GGCA
kmer_GGCC
kmer_GGCG
kmer_GGCT
kmer_GGGA
kmer_GGGG
kmer_GGGT
kmer_GGTA
kmer_GGTG
kmer_GGTT
kmer_GTAA
kmer_GTAC
kmer_GTAG
kmer_GTAT
kmer_GTCA
kmer_GTCC
kmer_GTCG
kmer_GTCT
kmer_GTGA
kmer_GTGC
kmer_GTGG
kmer_GTGT
kmer_GTTA
kmer_GTTC
kmer_GTTG
kmer_GTTT
kmer_TAAC
kmer_TAAG
kmer_TACA
kmer_TACC
kmer_TACG
kmer_TACT
kmer_TAGA
kmer_TAGC
kmer_TAGG
kmer_TAGT
kmer_TATA
kmer_TATC
kmer_TATG
kmer_TCAA
kmer_TCAC
kmer_TCAG
kmer_TCAT
kmer_TCCA
kmer_TCCC
kmer_TCCG
kmer_TCCT
kmer_TCGA
kmer_TCGC
kmer_TCGT
kmer_TCTA
kmer_TCTC
kmer_TCTG
kmer_TCTT
kmer_TGAA
kmer_TGAC
kmer_TGAG
kmer_TGAT
kmer_TGCA
kmer_TGCC
kmer_TGCG
kmer_TGCT
kmer_TGGA
kmer_TGGC
kmer_TGGG
kmer_TGGT
kmer_TGTA
kmer_TGTC
kmer_TGTG
kmer_TGTT
kmer_TTAC
kmer_TTAG
kmer_TTCA
kmer_TTCC
kmer_TTCG
kmer_TTCT
kmer_TTGA
kmer_TTGC
kmer_TTGG
kmer_TTGT
kmer_TTTC
kmer_TTTG
codon_AAA
codon_AAC
codon_AAG
codon_ACA
codon_ACC
codon_ACG
codon_ACT
codon_AGA
codon_AGC
codon_AGG
codon_AGT
codon_ATA
codon_ATC
codon_ATG
codon_CAA
codon_CAC
codon_CAG
codon_CAT
codon_CCA
codon_CCG
codon_CCT
codon_CGA
codon_CGG
codon_CGT
codon_CTA
codon_CTC
codon_CTG
codon_CTT
codon_GAA
codon_GAC
codon_GAG
codon_GAT
codon_GCA
codon_GCC
codon_GCG
codon_GCT
codon_GGA
codon_GGC
codon_GGT
codon_GTA
codon_GTC
codon_GTG
codon_GTT
codon_TAA
codon_TAC
codon_TAG
codon_TAT
codon_TCA
codon_TCC
codon_TCG
codon_TCT
codon_TGA
codon_TGC
codon_TGG
codon_TGT
codon_TTC
codon_TTG
